Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
The Wizard of Oz,"Oz Park, 2021, Lincoln Park, Chicago, North Chicago Township, Cook County, Illinois, 60614, United States",PG,2014,2014-08-23,Y,60614,Oz Park
A League of Their Own,"Edgebrook Park, Edgemont, Calgary, Alberta, Canada",PG,2014,2014-06-07,N/A,60646,Edgebrook Park
Willy Wonka & the Chocolate Factory,"Armour Square Park, 3309, Armour Square, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",G,2014,2014-06-28,Y,60616,Armour Square Park
The Wizard of Oz,"Horner Park, Horn, Hamburg-Mitte, Hamburg, Deutschland",PG,2014,2014-08-30,Y,60618,Horner Park
Ghostbusters,,PG,2014,2014-07-20,Y,60614,Jonquil Playlot Park
The Muppet Movie,"Mandrake Park, 900, Grand Boulevard, Chicago, Hyde Park Township, Cook County, Illinois, 60653, United States",G,2014,2014-08-28,Y,60653,Mandrake Park
The Lego Movie,"Montgomery Park, Johannesburg Ward 88, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2109, South Africa",PG,2014,2014-08-26,Y,60606,"Ward, A. Montgomery Park"
Gravity,"O'Hallaren Park, 8335, South Englewood, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, 60620, United States",PG-13,2014,2014-07-10,N,60620,O'Hallaren Park
The Perfect Game,"Athletic Field Park, 3546, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2014,2014-07-25,N/A,60618,Athletic Field Park
Monster University,"Jefferson Memorial Park, 4822, Jefferson Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-06-12,N/A,60630,Jefferson Memorial Park
Newsies,"Athletic Field Park, 3546, Irving Park, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",PG,2014,2014-06-27,N/A,60618,Athletic Field Park
The Goonies,"Wrightwood Park, 2534, West DePaul, Lincoln Park, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",PG,2014,2014-08-08,Y,60614,Wrightwood Park
42,"Ada Park, 11250, Morgan Park, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG-13,2014,2014-08-02,Y,60643,Ada Park
Monster University,"Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",G,2014,2014-06-25,N/A,60641,Portage Park
Patang,"Midway Plaisance, 1130, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60637, United States",NR,2014,2014-06-15,N,60637,Midway Plaisance Park
The Hunger Games: Catching Fire,"Franklin Park, Leyden Township, Cook County, Illinois, United States",PG-13,2014,2014-08-08,Y,60623,Franklin Park
The Help,"Hamilton Park, Staten Island, Richmond County, New York, 10301, United States",PG-13,2014,2014-08-24,Y,60621,Hamilton Park
The Nut Job,"Nichols Park, 1355, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG,2014,2014-08-20,Y,60615,Nichols Park
The Nut Job,"Sauganash Park, 5861, Sauganash, Forest Glen, Chicago, Jefferson Township, Cook County, Illinois, 60646, United States",PG,2014,2014-08-02,Y,60646,Sauganash Park
Chicago ,"Montgomery Park, Johannesburg Ward 88, Randburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2109, South Africa",PG-13,2014,2014-07-15,Y,60606,"Ward, A. Montgomery Park"
Annie,"Pottawattomie Park, 7340, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",NR,2014,2014-07-23,N/A,60626,Pottawattomie Park
ET,"Portage Park, Chicago, Jefferson Township, Cook County, Illinois, 60630, United States",PG,2014,2014-07-30,N/A,60641,Portage Park
Lee Daniels' The Butler,"Dawes Park, Auburn Gresham, Chicago, Lake Township, Cook County, Illinois, United States",PG-13,2014,2014-08-01,Y,60620,Dawes Park
Mr. Peabody & Sherman,,PG,2014,2014-08-02,Y,60614,Jonquil Playlot Park
The Smurfs 2,"Skinner Park, 1331, West Loop, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG,2014,2014-07-16,Y,60607,Skinner Park
Back to the Future,"Arrigo Park, 801, Little Italy, Near West Side, Chicago, West Chicago Township, Cook County, Illinois, 60607, United States",PG,2014,2014-08-21,Y,60607,Arrigo Park
Latino Film Festival Selection,"Calumet Park, Calumet Township, Cook County, Illinois, United States",NR,2014,2014-07-16,N,60617,Calumet Park
"It's a Mad, Mad, Mad, Mad World","Gage Park, Chicago, Lake Township, Cook County, Illinois, 60632, United States",G,2014,2014-06-09,N,60629,Gage Park
Turbo,"Rainey Park, Queens, Queens County, New York, 11106, United States",PG,2014,2014-07-24,Y,60652,Rainey Park
Big Fish,"Lake Meadows Park, Douglas, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG-13,2014,2014-08-04,Y,60616,Lake Meadows Park
Life of Pi,"Marquette Park, 6743, Chicago Lawn, Chicago, Lake Township, Cook County, Illinois, 60629, United States",PG,2014,2014-07-27,Y,60629,Marquette Park
The Wizard of Oz,"Piotrowski Park, 4247, South Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2014,2014-08-17,Y,60623,Piotrowski Park
Free Birds,"Wildwood Park, Thousand Oaks, Ventura County, California, United States",PG,2014,2014-07-10,Y,60646,Wildwood Park
Star Trek: Into Darkness,"Emmerson Park, 1820, Winchester-Hood Garden Homes, West Ridge, Chicago, Lake View Township, Cook County, Illinois, 60660, United States",PG-13,2014,2014-08-26,Y,60660,Emmerson Park
The Hunger Games: Catching Fire,"Tuley Park, 501, Chesterfield, Chatham, Chicago, Hyde Park Township, Cook County, Illinois, 60619, United States",PG-13,2014,2014-07-20,Y,60619,Tuley Park
The Lego Movie,"Graver Park, 1500, Beverly, Chicago, Lake Township, Cook County, Illinois, 60643, United States",PG,2014,2014-08-14,Y,60643,Graver Park
